outcome,horizon,family,fold,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman
death,1,elastic_net,cv2,326,0.0627003006356,0.0967437112509,0.201930947218,0.134520370073,0.056681229449,0.929535973519,0.975703270108
death,1,elastic_net,cv3,326,0.0613527382848,0.0933584009661,0.186298834824,0.126711332713,0.0593627526485,0.939179736514,0.977792536725
death,1,extra_trees,cv1,326,0.0164878263139,0.0191437778965,0.03842428933,0.0273049765716,0.007849216407,0.997352526018,0.997860856991
death,1,extra_trees,cv2,326,0.016291047882,0.020214161659,0.0459918755915,0.0281074239548,0.0093995458955,0.99634469237,0.997274116664
death,1,extra_trees,cv3,326,0.0132363221975,0.0162136092323,0.0300562297214,0.0220060328011,0.008337844712,0.998416941286,0.998278225405
death,1,gru,cv1,326,0.0143631872284,0.0159585448378,0.0392586030741,0.0227618443583,0.0069742789325,0.997236307643,0.998027111629
death,1,gru,cv2,326,0.0126758527145,0.0145463632216,0.0248048014144,0.020226453363,0.009164742297,0.998936755365,0.997983469786
death,1,gru,cv3,326,0.0147805924966,0.0161664247121,0.0306663349577,0.0219419912861,0.008428912575,0.998352020633,0.997595888661
death,1,hist_gradient_boosting,cv1,326,0.0173092981303,0.0211388375359,0.0501189772127,0.0301505516199,0.0082354754255,0.995495730032,0.998008061618
death,1,hist_gradient_boosting,cv2,326,0.0162945344949,0.0200301143898,0.038839483341,0.027851509576,0.0095760141055,0.997393194795,0.997468080408
death,1,hist_gradient_boosting,cv3,326,0.0157225850285,0.0196631103643,0.0400520765383,0.0266878919708,0.007966394268,0.997188888352,0.997838689706
death,1,logtrend10,cv1,326,0.0154859546811,0.0178162939546,0.0387788355842,0.0254115719296,0.010044770569,0.997303443392,0.997694255989
death,1,logtrend10,cv2,326,0.0150194224369,0.0166083738499,0.0293503349675,0.0230936416198,0.0086434032305,0.998511366406,0.997131068403
death,1,logtrend10,cv3,326,0.013675015522,0.0163758469532,0.028439886171,0.0222262310652,0.0096092286065,0.998582628397,0.998127557139
death,1,logtrend5,cv1,326,0.0150557050383,0.0171101799054,0.0397505706302,0.0244044338571,0.0079675433355,0.997166607448,0.997859817899
death,1,logtrend5,cv2,326,0.0143667956109,0.0164480948288,0.0305029551914,0.0228707765575,0.0090201312775,0.998392150019,0.997600391391
death,1,logtrend5,cv3,326,0.0147536602311,0.016037335596,0.0296169968895,0.0217667841942,0.00789688309,0.998462871909,0.997632256863
death,1,persistence,cv1,326,0.0164806409717,0.0203378288003,0.0396932313218,0.0290080642342,0.010763338895,0.997174775763,0.997780500582
death,1,persistence,cv2,326,0.0160607416417,0.0192379780299,0.0304958425116,0.0267500583819,0.012909525185,0.998392899769,0.997116867486
death,1,persistence,cv3,326,0.0137162948773,0.0165095804293,0.0267573710364,0.0224077417468,0.00954402159,0.998745372213,0.998241164475
death,1,pooled_ridge,cv1,326,0.0153692537251,0.0177771493605,0.0381015572951,0.0253557395735,0.0087875552325,0.997396812403,0.997945023401
